City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
margaret river,-33.95,115.0667,58.37,51,9,11.43,AU,2024-11-25
grytviken,-54.2811,-36.5092,34.39,83,100,6.73,GS,2024-11-25
kapuskasing,49.4169,-82.4331,30.29,100,100,4.61,CA,2024-11-25
saint-francois,46.4154,3.9054,47.64,94,100,4.61,FR,2024-11-25
yellowknife,62.456,-114.3525,19.42,94,100,18.41,CA,2024-11-25
kirensk,57.7853,108.1119,-4.92,96,89,6.55,RU,2024-11-25
foindu,7.4108,-11.5422,75.51,92,62,2.44,SL,2024-11-25
hamilton,39.1834,-84.5333,60.42,91,100,8.05,US,2024-11-25
ust-nera,64.5667,143.2,-26.91,100,9,5.08,RU,2024-11-25
badger,64.8,-147.5333,21.45,84,100,0.0,US,2024-11-25
gunjur,13.2019,-16.7339,75.27,94,0,5.75,GM,2024-11-25
vallenar,-28.5708,-70.7581,72.59,33,6,4.25,CL,2024-11-25
saipan,15.1355,145.701,88.5,79,20,19.57,MP,2024-11-25
pitimbu,-7.4706,-34.8086,77.85,75,4,8.39,BR,2024-11-25
vila velha,-20.3297,-40.2925,75.15,72,75,3.44,BR,2024-11-25
wamba,8.9333,8.6,70.88,25,11,4.56,NG,2024-11-25
mahavelona,-17.6848,49.5087,75.67,87,100,3.36,MG,2024-11-25
tura,25.5198,90.2201,58.87,87,20,3.94,IN,2024-11-25
petropavlovsk-kamchatsky,53.0452,158.6483,34.39,48,75,15.66,RU,2024-11-25
ushuaia,-54.8,-68.3,49.66,66,0,17.27,AR,2024-11-25
west island,-12.1568,96.8225,80.58,94,100,26.46,CC,2024-11-25
trincomalee,8.5711,81.2335,78.26,90,100,20.27,LK,2024-11-25
bethel,41.3712,-73.414,43.56,67,0,1.99,US,2024-11-25
vorgashor,67.5833,63.95,24.82,91,100,27.11,RU,2024-11-25
port-aux-francais,-49.35,70.2167,37.53,74,57,37.76,TF,2024-11-25
qaqortoq,60.7167,-46.0333,11.77,75,0,3.53,GL,2024-11-25
buala,-8.145,159.5921,86.81,68,63,5.14,SB,2024-11-25
hermanus,-34.4187,19.2345,60.8,65,100,21.52,ZA,2024-11-25
albany,42.6001,-73.9662,37.63,69,71,2.77,US,2024-11-25
puerto ayora,-0.7393,-90.3518,73.54,84,38,7.0,EC,2024-11-25
manokwari,-0.8667,134.0833,83.55,67,100,3.31,ID,2024-11-25
chonchi,-42.6128,-73.8092,53.11,89,50,3.67,CL,2024-11-25
olonkinbyen,70.9221,-8.7187,28.13,66,100,21.7,SJ,2024-11-25
bredasdorp,-34.5322,20.0403,60.58,64,100,16.24,ZA,2024-11-25
mantua,45.1667,10.7833,46.06,89,81,0.49,IT,2024-11-25
blackmans bay,-43.0167,147.3167,64.72,83,33,6.73,AU,2024-11-25
rakops,-21.0167,24.3333,73.22,62,93,8.39,BW,2024-11-25
tiksi,71.6872,128.8694,-0.44,72,62,23.26,RU,2024-11-25
tougan,13.0667,-3.0667,74.41,17,65,8.55,BF,2024-11-25
weno,7.4515,151.8468,85.95,79,75,6.91,FM,2024-11-25
fuglafjordur,62.244,-6.814,36.82,66,100,29.19,FO,2024-11-25
